week,km_total,run_count,avg_pace,max_run_km,avg_run_km,long_run_ratio,efficiency
2024-11-18/2024-11-24,25.3708,2.0,5.418711666972108,15.0534,12.6854,1.1866712914058681,0.017761107905366415
2024-11-25/2024-12-01,24.378300000000003,2.0,5.812270944238677,14.0076,12.189150000000001,1.1491859563628308,0.016835926034634578
2024-12-02/2024-12-08,8.5049,1.0,5.409499080385157,8.5049,8.5049,1.0,0.017933643771827705
2024-12-09/2024-12-15,31.7286,2.0,5.79228427891343,16.2282,15.8643,1.0229382954180142,0.016813668224299066
2024-12-16/2024-12-22,27.5807,2.0,5.205611498072129,15.0169,13.79035,1.0889426301725482,0.018646682188591383
2024-12-23/2024-12-29,0.0,0.0,5.205611498072129,,,1.0889426301725482,0.018646682188591383
2024-12-30/2025-01-05,21.2095,2.0,5.97172085495543,10.8509,10.60475,1.0232112968245362,0.016615110053539557
2025-01-06/2025-01-12,20.686700000000002,2.0,5.568778631509259,10.613100000000001,10.343350000000001,1.0260795583635862,0.017775154912953672
2025-01-13/2025-01-19,32.3668,3.0,5.665035956624821,12.7128,10.788933333333333,1.178318523919572,0.01725429017160687
2025-01-20/2025-01-26,17.2207,1.0,5.065856129685916,17.2207,17.2207,1.0,0.019398584905660377
2025-01-27/2025-02-02,15.0282,1.0,5.151983513652756,15.0282,15.0282,1.0,0.01880813953488372
2025-02-03/2025-02-09,0.0,0.0,5.151983513652756,,,1.0,0.01880813953488372
2025-02-10/2025-02-16,0.0,0.0,5.151983513652756,,,1.0,0.01880813953488372
2025-02-17/2025-02-23,9.8909,1.0,5.88512241054614,9.8909,9.8909,1.0,0.016787196206283342
2025-02-24/2025-03-02,13.677,2.0,5.399932689699128,10.0178,6.8385,1.4649118958836,0.017721664275466283
2025-03-03/2025-03-09,29.2425,2.0,5.35377714808304,16.8622,14.62125,1.1532666495682655,0.01836470588235294
2025-03-10/2025-03-16,15.024,1.0,5.137690094533498,15.024,15.024,1.0,0.018463289698349462
2025-03-17/2025-03-23,11.762899999999998,2.0,4.877654245598953,10.072299999999998,5.881449999999999,1.7125538770201225,0.019480556344024978
2025-03-24/2025-03-30,21.5199,2.0,5.541401658309757,11.075700000000001,10.75995,1.0293449319002412,0.018032934131736525
2025-03-31/2025-04-06,26.9456,2.0,5.577145508574873,18.1531,13.4728,1.347388813015854,0.017627468317123487
2025-04-07/2025-04-13,10.0671,1.0,4.985541928407618,10.0671,10.0671,1.0,0.019481351981351983
2025-04-14/2025-04-20,34.6753,3.0,4.98840939671978,18.4576,11.558433333333333,1.5968946195130251,0.019293687451886064
2025-04-21/2025-04-27,16.5254,2.0,5.0460160802650424,11.3786,8.2627,1.3771043363549444,0.01950367107195301
2025-04-28/2025-05-04,41.8926,3.0,4.978560058744123,21.261200000000002,13.9642,1.5225505220492404,0.020059689614007163
2025-05-05/2025-05-11,20.945500000000003,3.0,5.414052141273792,10.532,6.981833333333334,1.508486309708529,0.019397688095720945
2025-05-12/2025-05-18,12.5922,2.0,5.057198062011231,11.8057,6.2961,1.8750813995965756,0.02008672248803828
2025-05-19/2025-05-25,31.893700000000003,3.0,4.931351812634091,11.8271,10.631233333333334,1.1124861649792905,0.02009042657755062
2025-05-26/2025-06-01,39.364,3.0,5.250734250989684,20.487299999999998,13.121333333333332,1.561373336043085,0.019133028435076554
2025-06-02/2025-06-08,21.8159,2.0,5.263600726900279,14.1057,10.90795,1.2931577427472625,0.018849347568208778
